ID,Gender,Age,Graduated,Profession,Spending_Score,Var_1,Segmentation
462809,Male,22,No,Healthcare,Low,Cat_4,D
462643,Female,38,Yes,Engineer,Average,Cat_4,A
466315,Female,67,Yes,Engineer,Low,Cat_6,B
461735,Male,67,Yes,Lawyer,High,Cat_6,B
462669,Female,40,Yes,Entertainment,High,Cat_6,A
461319,Male,56,No,Artist,Average,Cat_6,C
460156,Male,32,Yes,Healthcare,Low,Cat_6,C
464347,Female,33,Yes,Healthcare,Low,Cat_6,D
465015,Female,61,Yes,Engineer,Low,Cat_7,D
465176,Female,55,Yes,Artist,Average,Cat_6,C
464041,Female,26,Yes,Engineer,Low,Cat_6,A
464942,Male,19,No,Healthcare,Low,Cat_4,D
461230,Female,19,No,Executive,Low,Cat_3,D
459573,Male,70,No,Lawyer,Low,Cat_6,A
460849,Female,58,No,Doctor,Low,Cat_3,B
460563,Female,41,No,Healthcare,Low,Cat_1,C
466865,Female,32,No,Homemaker,Low,Cat_3,D
461644,Male,31,No,Healthcare,Low,Cat_6,B
466772,Male,58,Yes,Entertainment,Average,Cat_6,B
464291,Female,79,Yes,Artist,High,Cat_6,C
466084,Male,49,Yes,Homemaker,Low,Cat_3,A
459675,Female,18,No,Healthcare,Low,Cat_6,D
465602,Male,33,Yes,Artist,Low,Cat_3,A
459168,Female,36,Yes,Artist,Low,Cat_6,B
461021,Female,58,No,Executive,Average,Cat_3,B
465083,Male,56,No,Artist,Average,Cat_6,C
467604,Male,31,No,Healthcare,Low,Cat_4,A
459717,Male,49,Yes,Artist,Average,Cat_6,C
465882,Male,35,Yes,Artist,Low,Cat_6,B
461996,Female,35,No,Artist,Low,Cat_6,C
463331,Female,45,Yes,Artist,Low,Cat_6,C
462216,Female,42,No,Doctor,Low,Cat_4,A
462454,Male,19,No,Healthcare,Low,Cat_2,D
467010,Male,26,No,Homemaker,Low,Cat_6,D
459861,Female,83,No,Lawyer,High,Cat_6,D
467917,Female,27,Yes,Healthcare,Low,Cat_1,D
465572,Male,32,No,Doctor,Low,Cat_4,D
460593,Female,28,No,Healthcare,Average,Cat_3,D
465891,Female,28,Yes,Artist,Low,Cat_6,A
467442,Male,56,Yes,Artist,Average,Cat_6,C
462044,Female,47,Yes,Artist,Low,Cat_6,B
465686,Female,22,No,Healthcare,Low,Cat_6,D
464590,Female,27,Yes,Artist,Low,Cat_6,A
466006,Female,49,Yes,Artist,Low,Cat_7,C
466152,Male,40,No,Engineer,Low,Cat_6,A
463156,Female,79,No,Lawyer,High,Cat_6,A
465729,Male,41,Yes,Artist,Average,Cat_4,B
462384,Female,29,Yes,Healthcare,Low,Cat_7,A
462442,Male,19,No,Healthcare,Low,Cat_6,D
464191,Female,45,Yes,Engineer,Low,Cat_6,A
462078,Female,61,No,Artist,Average,Cat_2,B
467873,Female,36,Yes,Artist,Average,Cat_6,C
461270,Male,40,Yes,Artist,Low,Cat_3,A
462960,Female,57,Yes,Entertainment,Average,Cat_6,C
464961,Male,76,No,Marketing,Low,Cat_4,A
462110,Male,32,Yes,Artist,Average,Cat_6,B
465769,Male,25,Yes,Healthcare,Low,Cat_6,D
462267,Male,32,No,Doctor,Low,Cat_6,D
465269,Female,45,Yes,Artist,Average,Cat_3,C
460881,Male,72,Yes,Lawyer,Low,Cat_4,D
461891,Male,48,Yes,Artist,Average,Cat_6,C
466935,Male,55,Yes,Artist,Average,Cat_1,C
464091,Male,74,Yes,Lawyer,High,Cat_6,D
464535,Male,56,Yes,Lawyer,High,Cat_6,A
463108,Male,59,Yes,Lawyer,High,Cat_6,A
461356,Male,25,Yes,Entertainment,Low,Cat_6,A
464570,Male,31,Yes,Doctor,Average,Cat_6,A
464580,Male,27,No,Artist,Low,Cat_6,A
465233,Male,57,Yes,Artist,Average,Cat_6,B
467208,Female,39,Yes,Homemaker,High,Cat_6,A
459954,Male,27,Yes,Healthcare,Low,Cat_6,D
460219,Female,51,Yes,Entertainment,Average,Cat_6,A
460877,Female,47,No,Artist,Average,Cat_6,B
460191,Female,33,No,Healthcare,Low,Cat_6,D
463742,Male,56,Yes,Artist,Average,Cat_6,C
463691,Female,33,No,Homemaker,Low,Cat_6,B
463250,Female,36,Yes,Doctor,Low,Cat_6,D
463952,Male,51,No,Artist,Low,Cat_4,A
461558,Male,45,Yes,Engineer,Average,Cat_6,C
466567,Female,49,Yes,Unemployed,Low,Cat_6,D
465379,Male,30,No,Healthcare,Low,Cat_6,C
463814,Female,26,No,Healthcare,Low,Cat_5,D
466938,Male,63,Yes,Artist,Low,Cat_6,A
460671,Male,35,No,Entertainment,Average,Cat_3,B
462204,Female,19,No,Marketing,Low,Cat_4,A
461671,Male,32,No,Healthcare,Low,Cat_6,D
459384,Male,52,Yes,Artist,Average,Cat_6,C
459905,Female,36,Yes,Artist,Low,Cat_6,C
464734,Female,42,No,Entertainment,Low,Cat_4,D
464125,Male,40,No,Doctor,Average,Cat_3,D
467434,Male,39,Yes,Entertainment,Low,Cat_1,B
460956,Female,47,Yes,Artist,Average,Cat_3,C
465179,Female,61,Yes,Artist,High,Cat_6,C
463338,Male,32,No,Entertainment,Low,Cat_3,D
467066,Male,55,No,Artist,Low,Cat_6,B
463845,Male,58,Yes,Artist,Average,Cat_6,D
459976,Female,38,Yes,Artist,Low,Cat_6,D
461334,Male,63,Yes,Artist,High,Cat_6,C
465108,Male,58,Yes,Doctor,Average,Cat_6,C
462600,Male,30,No,Engineer,Average,Cat_4,D
464144,Male,60,Yes,Artist,Average,Cat_6,C
466911,Male,68,No,Executive,High,Cat_6,B
462806,Male,52,No,Artist,Low,Cat_4,A
463426,Male,38,No,Executive,High,Cat_6,A
464065,Female,35,Yes,Healthcare,Low,Cat_6,B
462979,Male,18,No,Doctor,Low,Cat_6,D
462834,Male,30,Yes,Homemaker,Low,Cat_1,D
460764,Male,86,No,Lawyer,Low,Cat_6,D
466466,Female,19,No,Healthcare,Low,Cat_3,D
460185,Male,25,No,Healthcare,Low,Cat_6,D
459749,Male,59,Yes,Entertainment,Low,Cat_4,A
464406,Female,39,Yes,Artist,Low,Cat_6,A
467758,Female,50,Yes,Doctor,Low,Cat_6,B
462059,Male,47,Yes,Artist,Low,Cat_6,C
467905,Male,43,Yes,Executive,High,Cat_6,D
461177,Male,36,No,Executive,Average,Cat_1,B
460765,Male,80,No,Lawyer,Low,Cat_6,D
465386,Male,36,Yes,Artist,Low,Cat_2,C
465827,Male,27,No,Unemployed,Low,Cat_4,D
462332,Female,37,Yes,Artist,High,Cat_7,A
464481,Male,46,Yes,Executive,High,Cat_6,C
461011,Male,55,No,Executive,High,Cat_3,B
464749,Female,47,No,Engineer,Average,Cat_4,B
461094,Female,28,Yes,Healthcare,Low,Cat_3,D
462104,Male,39,No,Entertainment,Low,Cat_3,D
464524,Female,27,No,Marketing,Low,Cat_6,A
466295,Female,42,No,Engineer,Low,Cat_6,A
461787,Male,72,Yes,Artist,Average,Cat_6,C
467857,Female,28,Yes,Engineer,Low,Cat_6,A
460153,Male,35,Yes,Entertainment,Low,Cat_6,C
465215,Male,39,Yes,Executive,High,Cat_2,A
466746,Female,69,Yes,Lawyer,High,Cat_6,C
464857,Male,18,No,Healthcare,Low,Cat_4,D
459478,Male,46,Yes,Artist,Low,Cat_6,A
460723,Female,50,Yes,Engineer,High,Cat_4,B
459853,Male,30,No,Executive,Low,Cat_6,A
459390,Female,41,No,Artist,Low,Cat_6,B
460410,Female,39,Yes,Artist,Low,Cat_6,D
463823,Female,29,No,Marketing,Low,Cat_6,D
462008,Female,37,Yes,Artist,Low,Cat_5,B
459750,Female,39,Yes,Engineer,Average,Cat_6,A
459880,Female,48,Yes,Artist,Average,Cat_7,C
459261,Female,32,Yes,Doctor,Low,Cat_6,C
465656,Male,78,No,Lawyer,Low,Cat_6,B
465395,Female,43,No,Engineer,Average,Cat_4,B
461631,Male,29,No,Marketing,Low,Cat_6,C
464904,Female,28,No,Engineer,Average,Cat_4,A
461740,Male,80,Yes,Lawyer,Low,Cat_6,B
467092,Female,28,Yes,Healthcare,Low,Cat_6,D
464173,Male,71,Yes,Artist,Average,Cat_6,C
464972,Male,67,No,Lawyer,High,Cat_4,A
467959,Female,26,No,Engineer,Low,Cat_2,A
467688,Female,47,Yes,Engineer,Average,Cat_6,C
460043,Female,43,Yes,Artist,Average,Cat_6,B
466590,Female,27,Yes,Healthcare,Low,Cat_6,C
461191,Female,45,Yes,Marketing,Low,Cat_6,D
465662,Male,76,No,Executive,Low,Cat_6,C
